Town Name,Number of Ballots Issued,Number of Ballots Received
PROCTOR,1097,109.0
PUTNEY,1431,240.0
RANDOLPH,3032,503.0
READING,448,61.0
READSBORO,458,41.0
RICHFORD,1479,207.0
RICHMOND,2999,241.0
RIPTON,382,65.0
ROCHESTER,730,135.0
ROCKINGHAM,2862,399.0
ROXBURY,479,60.0
ROYALTON,1638,239.0
RUPERT,433,52.0
RUTLAND CITY,8264,1147.0
RUTLAND TOWN,2469,465.0
RYEGATE,722,108.0
SAINT ALBANS CITY,3143,545.0
SAINT ALBANS TOWN,3757,791.0
SAINT GEORGE,590,
SAINT JOHNSBURY,3730,581.0
SALISBURY,867,
SANDGATE,338,5.0
SEARSBURG,76,
SHAFTSBURY,2586,345.0
SHARON,991,147.0
SHEFFIELD,421,30.0
SHELBURNE,5433,769.0
SHELDON,1257,131.0
SHOREHAM,745,92.0
SHREWSBURY,779,112.0
SOUTH BURLINGTON,13577,1605.0
SOUTH HERO,1278,308.0
SPRINGFIELD,4540,851.0
STAMFORD,631,29.0
STANNARD,160,1.0
STARKSBORO,1105,180.0
STOCKBRIDGE,510,50.0
STOWE,3483,364.0
STRAFFORD,775,121.0
STRATTON,203,19.0
SUDBURY,457,
SUNDERLAND,672,117.0
SUTTON,608,83.0
SWANTON,3979,628.0
THETFORD,1910,326.0
TINMOUTH,351,53.0
TOPSHAM,791,85.0
TOWNSHEND,946,122.0
TROY,1010,146.0
TUNBRIDGE,905,125.0
UNDERHILL,2130,248.0
VERGENNES,1664,231.0
VERNON,1453,196.0
VERSHIRE,523,10.0
VICTORY,60,5.0
WAITSFIELD,1166,193.0
WALDEN,589,107.0
WALLINGFORD,1240,190.0
WALTHAM,395,
WARDSBORO,538,61.0
WARREN,1304,202.0
WASHINGTON,682,93.0
WATERBURY,3392,637.0
WATERFORD,929,147.0
WATERVILLE,495,54.0
WEATHERSFIELD,1788,359.0
WELLS,835,94.0
WEST FAIRLEE,445,48.0
WEST HAVEN,175,6.0
WEST RUTLAND,1493,163.0
WEST WINDSOR,1022,6.0
WESTFIELD,374,51.0
WESTFORD,1358,291.0
WESTMINSTER,1985,275.0
WESTMORE,246,23.0
WESTON,433,84.0
WEYBRIDGE,690,
WHEELOCK,584,1.0
WHITING,263,18.0
WHITINGHAM,803,118.0
WILLIAMSTOWN,2125,340.0
WILLISTON,7316,951.0
WILMINGTON,1251,186.0
WINDHAM,276,38.0
WINDSOR,1884,282.0
WINHALL,673,108.0
WINOOSKI,3780,516.0
WOLCOTT,1084,118.0
WOODBURY,582,75.0
WOODFORD,223,14.0
WOODSTOCK,2202,278.0
WORCESTER,609,124.0
